head_forward_x,head_forward_y,neck_angle,spine_tilt,shoulder_hip_distance,shoulder_forward_offset,hip_tilt,trunk_to_hip_angle,torso_lean_x,torso_lean_y,com_shift_x,label,timestamp
-0.315,-0.373,0.217,-1.372,1.000,0.193,-2.717,0.999,0.193,-0.961,0.097,neutral,1758906299439
-0.276,-0.300,0.035,-1.384,1.000,0.185,-2.517,0.857,0.185,-0.975,0.092,neutral,1758906306151
-0.061,-0.394,1.627,-1.513,1.000,0.056,-3.064,1.309,0.056,-0.964,0.028,head_forward,1758906340318
0.078,-0.393,1.622,-1.600,1.000,-0.028,3.133,1.435,-0.028,-0.978,-0.014,head_forward,1758906345307
0.210,-0.325,1.564,-1.497,1.000,0.075,3.041,1.703,0.075,-1.008,0.037,head_forward,1758906350577
0.248,-0.373,1.381,-1.483,1.000,0.090,3.033,1.741,0.090,-1.015,0.045,head_forward,1758906354087
0.350,-0.445,1.067,-1.553,1.000,0.018,3.002,1.792,0.018,-1.046,0.009,head_forward,1758906362530
0.387,-0.403,0.883,-1.536,1.000,0.036,2.969,1.907,0.036,-1.037,0.018,head_forward,1758906367620
0.343,-0.467,0.806,-1.630,1.000,-0.063,2.962,1.810,-0.063,-1.049,-0.031,head_forward,1758906390133
0.462,-0.308,0.532,-1.568,1.000,0.003,2.931,1.996,0.003,-1.031,0.001,head_forward,1758906394248
0.516,-0.223,0.427,-1.535,1.000,0.037,2.953,2.051,0.037,-1.037,0.019,head_forward,1758906396625
0.480,-0.299,0.506,-1.603,1.000,-0.033,2.945,1.965,-0.033,-1.035,-0.017,head_forward,1758906398407
0.441,-0.356,0.354,-1.606,1.000,-0.036,2.840,2.069,-0.036,-1.023,-0.018,head_forward,1758906408643
-0.399,-0.426,0.707,-1.460,1.000,0.105,-2.955,1.047,0.105,-0.944,0.053,head_forward,1758906455494
-0.453,-0.350,0.629,-1.486,1.000,0.081,-2.973,0.998,0.081,-0.954,0.041,head_forward,1758906458244
-0.485,-0.275,0.541,-1.492,1.000,0.076,-2.985,0.965,0.076,-0.954,0.038,head_forward,1758906460026
-0.424,-0.364,0.500,-1.540,1.000,0.030,-2.947,0.995,0.030,-0.966,0.015,head_forward,1758906465634
-0.497,-0.314,0.463,-1.572,1.000,-0.001,-3.014,0.970,-0.001,-0.964,-0.001,head_forward,1758906468386
